"Type","Status","Last Updated","Nationality","2017","2018","2019","2020","2021","2022","2023","2024"
"Citizenship","Received","31/08/2024","French Guiana","0","0","0","0","0","0","0","0"
"Citizenship","Received","31/08/2024","French Polynesia","0","0","0","0","0","0","0","0"
"Citizenship","Received","31/08/2024","Gabon","0","0","0","0","0","0","0","0"
"Citizenship","Received","31/08/2024","Gambia (the)","5","6","4","*","0","6","7","4"
"Citizenship","Received","31/08/2024","Georgia","44","37","40","45","53","63","108","50"
"Citizenship","Received","31/08/2024","Germany","49","42","39","38","38","46","74","58"
"Citizenship","Received","31/08/2024","Ghana","58","99","56","58","67","81","104","23"
"Citizenship","Received","31/08/2024","Gibraltar","0","0","0","0","0","0","0","0"
"Citizenship","Received","31/08/2024","Greece","20","22","11","13","19","23","47","28"
"Citizenship","Received","31/08/2024","Greenland","0","0","0","0","0","0","0","0"
"Citizenship","Received","31/08/2024","Grenada","0","*","0","0","*","*","0","*"
"Citizenship","Received","31/08/2024","Guadeloupe","0","0","0","0","0","0","0","0"
"Citizenship","Received","31/08/2024","Guam","0","0","0","0","0","0","0","0"
"Citizenship","Received","31/08/2024","Guatemala","*","*","*","*","*","*","4","*"
"Citizenship","Received","31/08/2024","Guernsey","0","0","0","0","0","0","0","0"
"Citizenship","Received","31/08/2024","Guinea","15","17","10","7","7","13","9","*"
"Citizenship","Received","31/08/2024","Guinea-Bissau","0","0","*","*","0","0","0","0"
"Citizenship","Received","31/08/2024","Guyana","0","0","*","*","*","5","4","0"
"Citizenship","Received","31/08/2024","Haiti","*","0","0","*","*","*","*","*"
"Citizenship","Received","31/08/2024","Heard Island and McDonald Islands","0","0","0","0","0","0","0","0"
"Citizenship","Received","31/08/2024","Holy See (the)","0","0","0","0","0","0","0","0"
"Citizenship","Received","31/08/2024","Honduras","4","*","*","0","4","*","4","5"
"Citizenship","Received","31/08/2024","Hungary","178","183","150","105","128","139","206","79"
"Citizenship","Received","31/08/2024","Iceland","0","*","0","*","0","0","0","*"
"Citizenship","Received","31/08/2024","India","808","979","929","812","1068","2205","3418","1713"
"Citizenship","Received","31/08/2024","Indonesia","7","8","11","6","4","8","23","7"
"Citizenship","Received","31/08/2024","Iran (Islamic Republic of)","58","55","66","57","55","97","92","35"
"Citizenship","Received","31/08/2024","Iraq","79","71","112","100","113","154","94","27"
"Citizenship","Received","31/08/2024","Isle of Man","0","0","0","0","0","0","0","0"
"Citizenship","Received","31/08/2024","Israel","22","15","23","19","42","24","46","23"
"Citizenship","Received","31/08/2024","Italy","56","79","73","87","90","138","232","145"
"Citizenship","Received","31/08/2024","Jamaica","11","10","9","7","7","13","9","*"
"Citizenship","Received","31/08/2024","Japan","8","*","6","6","8","12","14","*"
"Citizenship","Received","31/08/2024","Jersey","0","0","0","0","0","0","0","0"
"Citizenship","Received","31/08/2024","Jordan","15","16","14","16","25","29","43","16"
"Citizenship","Received","31/08/2024","Kazakhstan","14","10","8","12","12","13","12","7"
"Citizenship","Received","31/08/2024","Kenya","27","36","47","35","37","36","41","14"
"Citizenship","Received","31/08/2024","Kiribati","0","0","0","0","0","0","0","0"
"Citizenship","Received","31/08/2024","Korea (the Democratic People's Republic of) North Korea","0","*","*","0","*","*","*","*"
"Citizenship","Received","31/08/2024","Korea (the Republic of) South Korea","10","15","16","10","15","7","15","9"
"Citizenship","Received","31/08/2024","Kosovo","17","22","25","25","14","20","26","6"
"Citizenship","Received","31/08/2024","Kuwait","9","14","8","22","13","11","11","6"
"Citizenship","Received","31/08/2024","Kyrgyzstan","*","*","5","*","0","*","4","0"
"Citizenship","Received","31/08/2024","Lao People's Democratic Republic (the)","*","0","0","*","*","*","*","0"
"Citizenship","Received","31/08/2024","Latvia","433","383","269","178","154","253","324","178"
"Citizenship","Received","31/08/2024","Lebanon","10","27","21","21","21","22","27","14"
"Citizenship","Received","31/08/2024","Lesotho","4","*","*","4","8","*","*","4"
"Citizenship","Received","31/08/2024","Liberia","5","7","11","6","4","6","15","*"
"Citizenship","Received","31/08/2024","Libya","30","43","51","48","62","91","96","40"
"Citizenship","Received","31/08/2024","Liechtenstein","0","0","0","*","0","0","0","0"
"Citizenship","Received","31/08/2024","Lithuania","183","172","145","106","85","172","194","118"
"Citizenship","Received","31/08/2024","Luxembourg","0","0","*","0","0","*","*","*"
"Citizenship","Received","31/08/2024","Macao","0","0","0","0","0","0","0","0"
"Citizenship","Received","31/08/2024","Madagascar","0","*","*","0","*","*","0","0"
"Citizenship","Received","31/08/2024","Malawi","17","27","28","20","33","52","82","43"
"Citizenship","Received","31/08/2024","Malaysia","87","73","84","73","83","102","109","53"
"Citizenship","Received","31/08/2024","Maldives","0","*","0","0","0","*","*","0"
"Citizenship","Received","31/08/2024","Mali","*","*","4","5","*","*","*","0"
"Citizenship","Received","31/08/2024","Malta","*","*","*","*","4","4","*","4"
"Citizenship","Received","31/08/2024","Marshall Islands (the)","0","0","0","0","0","0","0","0"
"Citizenship","Received","31/08/2024","Martinique","0","0","0","0","0","0","0","0"
"Citizenship","Received","31/08/2024","Mauritania","*","*","0","0","0","0","0","0"
"Citizenship","Received","31/08/2024","Mauritius","111","143","93","116","90","89","157","97"
"Citizenship","Received","31/08/2024","Mayotte","0","0","0","0","0","0","0","0"
"Citizenship","Received","31/08/2024","Melilla","0","0","0","0","0","0","0","0"
"Citizenship","Received","31/08/2024","Mexico","30","33","42","36","42","81","98","57"
